Time		P_ID	A_ID	Operation	Seat No		Tour No
16:05:53	 1		 0			R		   10		   3
16:05:53	 5		 0			R		   2		   2
16:05:53	 13		 0			B		   5		   3
16:05:53	 14		 0			B		   30		   2
16:05:53	 17		 0			R		   27		   1
16:05:53	 19		 0			R		   29		   1
16:05:53	 20		 0			R		   20		   2
16:05:53	 1		 0			B		   26		   1
16:05:53	 17		 1			R		   23		   1
16:05:53	 2		 0			B		   25		   1
16:05:53	 5		 4			R		   6		   2
16:05:53	 11		 0			R		   21		   1
16:05:53	 4		 6			R		   15		   2
16:05:53	 3		 0			B		   22		   3
16:05:53	 19		 10			R		   24		   1
16:05:53	 4		 0			R		   20		   3
16:05:53	 15		 0			B		   18		   1
16:05:53	 16		 0			R		   26		   2
16:05:53	 18		 0			R		   4		   2
16:05:53	 13		 0			R		   9		   2
16:05:53	 6		 0			R		   13		   1
16:05:53	 10		 0			R		   7		   1
16:05:53	 9		 0			R		   24		   2
16:05:53	 14		 0			B		   5		   1
16:05:53	 14		 2			R		   1		   2
16:05:53	 17		 0			B		   30		   3
16:05:53	 19		 0			B		   14		   2
16:05:53	 3		 3			R		   9		   1
16:05:53	 8		 1			R		   19		   2
16:05:53	 1		 0			C		   10		   3
16:05:53	 2		 0			R		   21		   2
16:05:53	 5		 7			C		   6		   2
16:05:53	 5		 5			R		   7		   3
16:05:53	 14		 4			R		   27		   2
16:05:53	 4		 8			C		   15		   2
16:05:53	 2		 6			R		   28		   3
16:05:53	 11		 0			R		   30		   1
16:05:53	 4		 10			R		   10		   1
16:05:53	 16		 0			R		   7		   2
16:05:53	 18		 0			B		   11		   3
16:05:53	 13		 0			R		   23		   3
16:05:53	 6		 0			B		   2		   1
16:05:53	 9		 0			R		   1		   1
16:05:53	 14		 0			B		   18		   3
16:05:53	 19		 0			B		   19		   1
16:05:53	 1		 3			R		   4		   1
16:05:53	 15		 0			R		   8		   1
16:05:53	 9		 1			R		   26		   3
16:05:53	 1		 0			V		   3		   3
16:05:53	 10		 0			R		   29		   3
16:05:53	 2		 0			R		   15		   3
16:05:53	 17		 7			R		   14		   3
16:05:53	 20		 0			B		   6		   2
16:05:53	 10		 4			R		   28		   1
16:05:53	 4		 0			B		   3		   3
16:05:53	 12		 0			R		   15		   2
16:05:53	 1		 8			R		   8		   3
16:05:53	 4		 2			C		   10		   1
16:05:53	 4		 6			R		   18		   2
16:05:53	 6		 0			R		   2		   3
16:05:53	 14		 0			B		   22		   2
16:05:53	 11		 9			C		   21		   1
16:05:53	 9		 0			B		   10		   2
16:05:53	 16		 0			B		   3		   1
16:05:53	 1		 10			C		   26		   1
16:05:53	 1		 3			R		   8		   2
16:05:53	 15		 0			R		   13		   3
16:05:53	 1		 0			B		   14		   1
16:05:53	 12		 1			R		   9		   3
16:05:53	 2		 0			B		   16		   3
16:05:53	 1		 7			R		   25		   3
16:05:53	 11		 0			B		   19		   3
16:05:53	 13		 0			B		   12		   1
16:05:53	 11		 4			C		   30		   1
16:05:53	 12		 8			R		   22		   1
16:05:53	 20		 6			R		   1		   3
16:05:53	 14		 0			R		   25		   2
16:05:53	 3		 2			C		   9		   1
16:05:53	 3		 0			B		   27		   3
16:05:53	 20		 0			R		   28		   2
16:05:53	 16		 0			B		   17		   3
16:05:53	 5		 10			C		   2		   2
16:05:53	 8		 5			R		   26		   1
16:05:53	 15		 0			B		   11		   2
16:05:53	 6		 1			C		   13		   1
16:05:53	 4		 7			C		   20		   3
16:05:53	 7		 0			R		   30		   1
16:05:53	 5		 0			B		   12		   3
16:05:53	 13		 0			B		   16		   1
16:05:53	 12		 4			C		   22		   1
16:05:53	 10		 9			C		   7		   1
16:05:53	 20		 8			R		   23		   2
16:05:53	 11		 0			R		   11		   1
16:05:53	 3		 3			R		   9		   1
16:05:53	 3		 0			R		   13		   2
16:05:53	 3		 6			C		   27		   3
16:05:53	 4		 0			R		   2		   2
16:05:53	 1		 5			C		   25		   3
16:05:53	 17		 0			C		   23		   1
16:05:53	 1		 10			C		   14		   1
16:05:53	 17		 1			R		   16		   2
16:05:53	 10		 0			B		   20		   3
16:05:53	 15		 7			C		   8		   1
16:05:53	 18		 0			R		   17		   1
16:05:53	 15		 0			B		   5		   2
16:05:53	 12		 0			B		   13		   1
16:05:53	 15		 9			C		   13		   3
16:05:53	 5		 8			C		   12		   3
16:05:53	 2		 0			C		   25		   1
16:05:53	 20		 2			R		   27		   3
16:05:53	 12		 3			C		   15		   2
16:05:53	 11		 0			R		   4		   3
16:05:53	 1		 0			B		   21		   1
16:05:53	 17		 6			R		   7		   1
16:05:53	 3		 0			B		   22		   1
16:05:53	 17		 1			C		   30		   3
